epa_rain_zone,state,location_code,station_name,jurisdiction_county,jurisdiction_city,primary_landuse,secondary_landuse,percent_impervious,start_date,days since last rain,precipitation_depth_(in),season,fraction,units,res,qual,drainage_area_acres,latitude,longitude,station,parameter
1,IL,ILDPLAE1,Lake_Ellyn_1_Inflow_Lake_Ellyn,Du_Page_County,Glen_Ellyn,Residential,Commercial,34.0,1980-04-03,,,spring,Total,mg/L,230.0,=,534.0,41.88388889,88.06055556,outflow,Total Suspended Solids
1,IL,ILDPLAE1,Lake_Ellyn_1_Inflow_Lake_Ellyn,Du_Page_County,Glen_Ellyn,Residential,Commercial,34.0,1980-05-17,,0.649999934,spring,Total,mg/L,250.0,=,534.0,41.88388889,88.06055556,outflow,Total Suspended Solids
1,IL,ILDPLAE1,Lake_Ellyn_1_Inflow_Lake_Ellyn,Du_Page_County,Glen_Ellyn,Residential,Commercial,34.0,1980-05-28,,0.40999998299999996,spring,Total,mg/L,190.0,=,534.0,41.88388889,88.06055556,outflow,Total Suspended Solids
1,IL,ILDPLAE1,Lake_Ellyn_1_Inflow_Lake_Ellyn,Du_Page_County,Glen_Ellyn,Residential,Commercial,34.0,1980-07-09,,0.28,summer,Total,mg/L,240.0,=,534.0,41.88388889,88.06055556,outflow,Total Suspended Solids
1,IL,ILDPLAE1,Lake_Ellyn_1_Inflow_Lake_Ellyn,Du_Page_County,Glen_Ellyn,Residential,Commercial,34.0,1980-07-20,,0.620000006,summer,Total,mg/L,100.0,=,534.0,41.88388889,88.06055556,outflow,Total Suspended Solids
1,IL,ILDPLAE1,Lake_Ellyn_1_Inflow_Lake_Ellyn,Du_Page_County,Glen_Ellyn,Residential,Commercial,34.0,1980-08-04,,1.459999986,summer,Total,mg/L,120.0,=,534.0,41.88388889,88.06055556,outflow,Total Suspended Solids
1,IL,ILDPLAE1,Lake_Ellyn_1_Inflow_Lake_Ellyn,Du_Page_County,Glen_Ellyn,Residential,Commercial,34.0,1980-08-19,,0.740000056,summer,Total,mg/L,92.0,=,534.0,41.88388889,88.06055556,outflow,Total Suspended Solids
1,IL,ILDPLAE1,Lake_Ellyn_1_Inflow_Lake_Ellyn,Du_Page_County,Glen_Ellyn,Residential,Commercial,34.0,1980-09-22,,0.7200000040000001,autumn,Total,mg/L,79.0,=,534.0,41.88388889,88.06055556,outflow,Total Suspended Solids
1,IL,ILDPLAE1,Lake_Ellyn_1_Inflow_Lake_Ellyn,Du_Page_County,Glen_Ellyn,Residential,Commercial,34.0,1980-10-24,,0.450000012,autumn,Total,mg/L,200.0,=,534.0,41.88388889,88.06055556,outflow,Total Suspended Solids
1,IL,ILDPLAE1,Lake_Ellyn_1_Inflow_Lake_Ellyn,Du_Page_County,Glen_Ellyn,Residential,Commercial,34.0,1980-12-07,,1.090000032,autumn,Total,mg/L,310.0,=,534.0,41.88388889,88.06055556,outflow,Total Suspended Solids
1,IL,ILDPLAE1,Lake_Ellyn_1_Inflow_Lake_Ellyn,Du_Page_County,Glen_Ellyn,Residential,Commercial,34.0,1981-02-16,,0.420000009,winter,Total,mg/L,1100.0,=,534.0,41.88388889,88.06055556,outflow,Total Suspended Solids
1,IL,ILDPLAE1,Lake_Ellyn_1_Inflow_Lake_Ellyn,Du_Page_County,Glen_Ellyn,Residential,Commercial,34.0,1981-02-22,,1.6900000990000001,winter,Total,mg/L,52.0,=,534.0,41.88388889,88.06055556,outflow,Total Suspended Solids
1,IL,ILDPLAE1,Lake_Ellyn_1_Inflow_Lake_Ellyn,Du_Page_County,Glen_Ellyn,Residential,Commercial,34.0,1981-04-03,,0.380000017,spring,Total,mg/L,220.0,=,534.0,41.88388889,88.06055556,outflow,Total Suspended Solids
1,IL,ILDPLAE1,Lake_Ellyn_1_Inflow_Lake_Ellyn,Du_Page_County,Glen_Ellyn,Residential,Commercial,34.0,1981-04-22,,0.7800000109999999,spring,Total,mg/L,450.0,=,534.0,41.88388889,88.06055556,outflow,Total Suspended Solids
1,IL,ILDPLAE1,Lake_Ellyn_1_Inflow_Lake_Ellyn,Du_Page_County,Glen_Ellyn,Residential,Commercial,34.0,1981-04-28,,,spring,Total,mg/L,170.0,=,534.0,41.88388889,88.06055556,outflow,Total Suspended Solids
1,IL,ILDPLAE1,Lake_Ellyn_1_Inflow_Lake_Ellyn,Du_Page_County,Glen_Ellyn,Residential,Commercial,34.0,1981-05-10,,0.460000001,spring,Total,mg/L,470.0,=,534.0,41.88388889,88.06055556,outflow,Total Suspended Solids
1,IL,ILDPLAE1,Lake_Ellyn_1_Inflow_Lake_Ellyn,Du_Page_County,Glen_Ellyn,Residential,Commercial,34.0,1981-05-29,,0.5400000220000001,spring,Total,mg/L,69.0,=,534.0,41.88388889,88.06055556,outflow,Total Suspended Solids
1,IL,ILDPLAE1,Lake_Ellyn_1_Inflow_Lake_Ellyn,Du_Page_County,Glen_Ellyn,Residential,Commercial,34.0,1981-06-08,,,spring,Total,mg/L,330.0,=,534.0,41.88388889,88.06055556,outflow,Total Suspended Solids
1,IN,ININBAR1,Basin_R1_control,Marion_County,Indianapolis,Residential,,,1999-10-08,,,autumn,Total,mg/L,25.0,=,8.36,39.75716944,85.97535278,outflow,Total Suspended Solids
1,IN,ININBAR1,Basin_R1_control,Marion_County,Indianapolis,Residential,,,2000-02-03,,,winter,Total,mg/L,18.5,=,8.36,39.75716944,85.97535278,outflow,Total Suspended Solids
1,IN,ININBAR1,Basin_R1_control,Marion_County,Indianapolis,Residential,,,2000-05-17,,,spring,Total,mg/L,31.2,=,8.36,39.75716944,85.97535278,outflow,Total Suspended Solids
1,IN,ININBAR1,Basin_R1_control,Marion_County,Indianapolis,Residential,,,2000-09-20,,,summer,Total,mg/L,53.8,=,8.36,39.75716944,85.97535278,outflow,Total Suspended Solids
1,IN,ININBAR1,Basin_R1_control,Marion_County,Indianapolis,Residential,,,2001-01-29,,,winter,Total,mg/L,33.0,=,8.36,39.75716944,85.97535278,outflow,Total Suspended Solids
1,IN,ININBAR1,Basin_R1_control,Marion_County,Indianapolis,Residential,,,2001-02-22,,,winter,Total,mg/L,33.0,=,8.36,39.75716944,85.97535278,outflow,Total Suspended Solids
1,IN,ININBAR1,Basin_R1_control,Marion_County,Indianapolis,Residential,,,2001-05-25,,,spring,Total,mg/L,14.3,=,8.36,39.75716944,85.97535278,outflow,Total Suspended Solids
1,IN,ININBAR1,Basin_R1_control,Marion_County,Indianapolis,Residential,,,2001-10-01,,,autumn,Total,mg/L,3.0,=,8.36,39.75716944,85.97535278,outflow,Total Suspended Solids
1,IN,ININBAR1,Basin_R1_control,Marion_County,Indianapolis,Residential,,,2003-10-14,,,autumn,Total,mg/L,11.0,=,8.36,39.75716944,85.97535278,outflow,Total Suspended Solids
1,IN,ININBAR2,Basin_R2_test,Marion_County,Indianapolis,Residential,,,1999-10-08,,,autumn,Total,mg/L,21.0,=,13.41,39.76257222,85.97841667,outflow,Total Suspended Solids
1,IN,ININBAR2,Basin_R2_test,Marion_County,Indianapolis,Residential,,,2000-02-03,,,winter,Total,mg/L,52.2,=,13.41,39.76257222,85.97841667,outflow,Total Suspended Solids
1,IN,ININBAR2,Basin_R2_test,Marion_County,Indianapolis,Residential,,,2000-05-17,,,spring,Total,mg/L,41.0,=,13.41,39.76257222,85.97841667,outflow,Total Suspended Solids
1,IN,ININBAR2,Basin_R2_test,Marion_County,Indianapolis,Residential,,,2000-09-20,,,summer,Total,mg/L,4.3,=,13.41,39.76257222,85.97841667,outflow,Total Suspended Solids
1,IN,ININBAR2,Basin_R2_test,Marion_County,Indianapolis,Residential,,,2001-01-29,,,winter,Total,mg/L,64.8,=,13.41,39.76257222,85.97841667,outflow,Total Suspended Solids
1,IN,ININBAR2,Basin_R2_test,Marion_County,Indianapolis,Residential,,,2001-02-22,,,winter,Total,mg/L,64.8,=,13.41,39.76257222,85.97841667,outflow,Total Suspended Solids
1,IN,ININBAR2,Basin_R2_test,Marion_County,Indianapolis,Residential,,,2001-05-25,,,spring,Total,mg/L,2.0,=,13.41,39.76257222,85.97841667,outflow,Total Suspended Solids
1,IN,ININBAR2,Basin_R2_test,Marion_County,Indianapolis,Residential,,,2001-10-01,,,autumn,Total,mg/L,3.0,=,13.41,39.76257222,85.97841667,outflow,Total Suspended Solids
1,IN,ININBAR2,Basin_R2_test,Marion_County,Indianapolis,Residential,,,2003-10-14,,,autumn,Total,mg/L,34.0,=,13.41,39.76257222,85.97841667,outflow,Total Suspended Solids
1,MA,MABOA001,Charlestown_29J212,Suffollk_County,City_of_Boston,Residential,Open Space,74.0,1992-04-11,10,0.24,spring,Total,mg/L,14.0,=,40.4,42.38388889,71.07241667,outflow,Total Suspended Solids
1,MA,MABOA001,Charlestown_29J212,Suffollk_County,City_of_Boston,Residential,Open Space,74.0,1992-07-23,,0.37,summer,Total,mg/L,28.0,=,40.4,42.38388889,71.07241667,outflow,Total Suspended Solids
1,MA,MABOA001,Charlestown_29J212,Suffollk_County,City_of_Boston,Residential,Open Space,74.0,1992-08-14,,0.31,summer,Total,mg/L,48.0,=,40.4,42.38388889,71.07241667,outflow,Total Suspended Solids
1,MA,MABOA002,West_Roxebury_13D077_078,Suffollk_County,City_of_Boston,Residential,,52.0,1992-04-17,3,0.77,spring,Total,mg/L,20.0,=,86.7,42.29588889,71.14858333,outflow,Total Suspended Solids
1,MA,MABOA002,West_Roxebury_13D077_078,Suffollk_County,City_of_Boston,Residential,,52.0,1992-06-01,6,1.77,spring,Total,mg/L,76.0,=,86.7,42.29588889,71.14858333,outflow,Total Suspended Solids
1,MA,MABOA002,West_Roxebury_13D077_078,Suffollk_County,City_of_Boston,Residential,,52.0,1992-06-24,3,0.38,summer,Total,mg/L,24.0,=,86.7,42.29588889,71.14858333,outflow,Total Suspended Solids
1,MA,MABOA002,West_Roxebury_13D077_078,Suffollk_County,City_of_Boston,Residential,,52.0,1997-04-17,,0.67,spring,Total,mg/L,41.0,=,86.7,42.29588889,71.14858333,outflow,Total Suspended Solids
1,MA,MABOA002,West_Roxebury_13D077_078,Suffollk_County,City_of_Boston,Residential,,52.0,1997-08-13,,0.71,summer,Total,mg/L,66.0,=,86.7,42.29588889,71.14858333,outflow,Total Suspended Solids
1,MA,MABOA002,West_Roxebury_13D077_078,Suffollk_County,City_of_Boston,Residential,,52.0,1997-08-20,,0.92,summer,Total,mg/L,12.0,=,86.7,42.29588889,71.14858333,outflow,Total Suspended Solids
1,MA,MABOA002,West_Roxebury_13D077_078,Suffollk_County,City_of_Boston,Residential,,52.0,1997-10-25,,0.84,autumn,Total,mg/L,28.0,=,86.7,42.29588889,71.14858333,outflow,Total Suspended Solids
1,MA,MABOA002,West_Roxebury_13D077_078,Suffollk_County,City_of_Boston,Residential,,52.0,1997-10-27,,0.68,autumn,Total,mg/L,11.0,=,86.7,42.29588889,71.14858333,outflow,Total Suspended Solids
1,MA,MABOA002,West_Roxebury_13D077_078,Suffollk_County,City_of_Boston,Residential,,52.0,1997-11-01,,1.55,autumn,Total,mg/L,37.0,=,86.7,42.29588889,71.14858333,outflow,Total Suspended Solids
1,MA,MABOA002,West_Roxebury_13D077_078,Suffollk_County,City_of_Boston,Residential,,52.0,1997-11-22,,0.84,autumn,Total,mg/L,40.0,=,86.7,42.29588889,71.14858333,outflow,Total Suspended Solids
1,MA,MABOA002,West_Roxebury_13D077_078,Suffollk_County,City_of_Boston,Residential,,52.0,1997-11-23,,0.84,autumn,Total,mg/L,10.0,=,86.7,42.29588889,71.14858333,outflow,Total Suspended Solids
1,MA,MABOA002,West_Roxebury_13D077_078,Suffollk_County,City_of_Boston,Residential,,52.0,1998-01-07,,2.13,winter,Total,mg/L,12.0,=,86.7,42.29588889,71.14858333,outflow,Total Suspended Solids
1,MA,MABOA002,West_Roxebury_13D077_078,Suffollk_County,City_of_Boston,Residential,,52.0,1998-01-23,,3.28,winter,Total,mg/L,25.0,=,86.7,42.29588889,71.14858333,outflow,Total Suspended Solids
1,MA,MABOA002,West_Roxebury_13D077_078,Suffollk_County,City_of_Boston,Residential,,52.0,1998-02-11,,0.94,winter,Total,mg/L,92.0,=,86.7,42.29588889,71.14858333,outflow,Total Suspended Solids
1,MA,MABOA002,West_Roxebury_13D077_078,Suffollk_County,City_of_Boston,Residential,,52.0,1998-03-18,,1.48,winter,Total,mg/L,18.0,=,86.7,42.29588889,71.14858333,outflow,Total Suspended Solids
1,MA,MABOA006,Mount_Vernon_26K099,Suffollk_County,City_of_Boston,Residential,,74.0,2001-06-02,,0.85,spring,Total,mg/L,20.0,=,3.3,42.37619444,71.05944444,outflow,Total Suspended Solids
1,MA,MABOA006,Mount_Vernon_26K099,Suffollk_County,City_of_Boston,Residential,,74.0,2001-06-11,,0.2,spring,Total,mg/L,35.0,=,3.3,42.37619444,71.05944444,outflow,Total Suspended Solids
1,MA,MABOA006,Mount_Vernon_26K099,Suffollk_County,City_of_Boston,Residential,,74.0,2001-07-17,,0.1,summer,Total,mg/L,6.0,=,3.3,42.37619444,71.05944444,outflow,Total Suspended Solids
1,MA,MABOF208,5F208_HydeParkAve_Hyde_Park,Suffollk_County,City_of_Boston,Residential,Institutional,,2003-04-11,,2.35,spring,Total,mg/L,125.0,=,19.0,42.23788889,71.12944444,outflow,Total Suspended Solids
1,MA,MABOF208,5F208_HydeParkAve_Hyde_Park,Suffollk_County,City_of_Boston,Residential,Institutional,,2003-04-22,,0.59,spring,Total,mg/L,86.0,=,19.0,42.23788889,71.12944444,outflow,Total Suspended Solids
1,MA,MABOF208,5F208_HydeParkAve_Hyde_Park,Suffollk_County,City_of_Boston,Residential,Institutional,,2003-04-26,,0.82,spring,Total,mg/L,50.0,=,19.0,42.23788889,71.12944444,outflow,Total Suspended Solids
1,MA,MABOF208,5F208_HydeParkAve_Hyde_Park,Suffollk_County,City_of_Boston,Residential,Institutional,,2004-04-25,,0.97,spring,Total,mg/L,37.0,=,19.0,42.23788889,71.12944444,outflow,Total Suspended Solids
1,MA,MABOF208,5F208_HydeParkAve_Hyde_Park,Suffollk_County,City_of_Boston,Residential,Institutional,,2004-05-03,,1.01,spring,Total,mg/L,15.0,=,19.0,42.23788889,71.12944444,outflow,Total Suspended Solids
1,MA,MABOF208,5F208_HydeParkAve_Hyde_Park,Suffollk_County,City_of_Boston,Residential,Institutional,,2004-07-24,,1.44,summer,Total,mg/L,75.0,=,19.0,42.23788889,71.12944444,outflow,Total Suspended Solids
1,MA,MABOK397,27K397_Mount_Vernon_St_Charlestown,Suffollk_County,City_of_Boston,Residential,,,2002-03-03,,0.56,winter,Total,mg/L,16.5,=,2.1,42.37619444,71.05944444,outflow,Total Suspended Solids
1,MA,MABOK397,27K397_Mount_Vernon_St_Charlestown,Suffollk_County,City_of_Boston,Residential,,,2002-04-25,,0.8,spring,Total,mg/L,38.0,=,2.1,42.37619444,71.05944444,outflow,Total Suspended Solids
1,MA,MABOK397,27K397_Mount_Vernon_St_Charlestown,Suffollk_County,City_of_Boston,Residential,,,2002-04-28,,0.21,spring,Total,mg/L,18.0,=,2.1,42.37619444,71.05944444,outflow,Total Suspended Solids
1,MA,MALQP1JO,P1_Jordan_Pond_Inlet,Worcester_County,Lake Quinsigamond,Residential,Commercial,21.0,1980-06-29,,,summer,Total,mg/L,32.0,=,110.0,42.26994444,71.74636111,outflow,Total Suspended Solids
1,MA,MALQP1JO,P1_Jordan_Pond_Inlet,Worcester_County,Lake Quinsigamond,Residential,Commercial,21.0,1980-07-08,,,summer,Total,mg/L,57.0,=,110.0,42.26994444,71.74636111,outflow,Total Suspended Solids
1,MA,MALQP1JO,P1_Jordan_Pond_Inlet,Worcester_County,Lake Quinsigamond,Residential,Commercial,21.0,1980-07-17,,,summer,Total,mg/L,122.0,=,110.0,42.26994444,71.74636111,outflow,Total Suspended Solids
1,MA,MALQP1JO,P1_Jordan_Pond_Inlet,Worcester_County,Lake Quinsigamond,Residential,Commercial,21.0,1980-07-29,,,summer,Total,mg/L,7.6,=,110.0,42.26994444,71.74636111,outflow,Total Suspended Solids
1,MA,MALQP1JO,P1_Jordan_Pond_Inlet,Worcester_County,Lake Quinsigamond,Residential,Commercial,21.0,1980-08-02,,,summer,Total,mg/L,26.0,=,110.0,42.26994444,71.74636111,outflow,Total Suspended Solids
1,MA,MALQP1JO,P1_Jordan_Pond_Inlet,Worcester_County,Lake Quinsigamond,Residential,Commercial,21.0,1980-08-03,,,summer,Total,mg/L,42.0,=,110.0,42.26994444,71.74636111,outflow,Total Suspended Solids
1,MA,MALQP1JO,P1_Jordan_Pond_Inlet,Worcester_County,Lake Quinsigamond,Residential,Commercial,21.0,1980-08-11,,,summer,Total,mg/L,8.4,=,110.0,42.26994444,71.74636111,outflow,Total Suspended Solids
1,MA,MALQP1JO,P1_Jordan_Pond_Inlet,Worcester_County,Lake Quinsigamond,Residential,Commercial,21.0,1980-09-10,,,summer,Total,mg/L,39.0,=,110.0,42.26994444,71.74636111,outflow,Total Suspended Solids
1,MA,MALQP1JO,P1_Jordan_Pond_Inlet,Worcester_County,Lake Quinsigamond,Residential,Commercial,21.0,1980-09-18,,,summer,Total,mg/L,324.0,=,110.0,42.26994444,71.74636111,outflow,Total Suspended Solids
1,MA,MALQP2R9,P2_Rt_9_Belmont_St,Worcester_County,Lake Quinsigamond,Residential,Commercial,23.0,1980-07-17,,,summer,Total,mg/L,600.0,=,338.0,42.27419444,71.75791667,outflow,Total Suspended Solids
1,MA,MALQP2R9,P2_Rt_9_Belmont_St,Worcester_County,Lake Quinsigamond,Residential,Commercial,23.0,1980-07-29,,,summer,Total,mg/L,118.0,=,338.0,42.27419444,71.75791667,outflow,Total Suspended Solids
1,MA,MALQP2R9,P2_Rt_9_Belmont_St,Worcester_County,Lake Quinsigamond,Residential,Commercial,23.0,1980-08-02,,,summer,Total,mg/L,80.0,=,338.0,42.27419444,71.75791667,outflow,Total Suspended Solids
1,MA,MALQP2R9,P2_Rt_9_Belmont_St,Worcester_County,Lake Quinsigamond,Residential,Commercial,23.0,1980-08-03,,,summer,Total,mg/L,231.0,=,338.0,42.27419444,71.75791667,outflow,Total Suspended Solids
1,MA,MALQP2R9,P2_Rt_9_Belmont_St,Worcester_County,Lake Quinsigamond,Residential,Commercial,23.0,1980-08-11,,,summer,Total,mg/L,18.0,=,338.0,42.27419444,71.75791667,outflow,Total Suspended Solids
1,MA,MALQP2R9,P2_Rt_9_Belmont_St,Worcester_County,Lake Quinsigamond,Residential,Commercial,23.0,1980-09-10,,,summer,Total,mg/L,110.0,=,338.0,42.27419444,71.75791667,outflow,Total Suspended Solids
1,MA,MALQP2R9,P2_Rt_9_Belmont_St,Worcester_County,Lake Quinsigamond,Residential,Commercial,23.0,1980-09-18,,,summer,Total,mg/L,790.0,=,338.0,42.27419444,71.75791667,outflow,Total Suspended Solids
1,MA,MALQP3LO,P3_Locust_St_Tributary_to_Belmont_St,Worcester_County,Lake Quinsigamond,Residential,,16.0,1980-07-17,,,summer,Total,mg/L,735.0,=,154.0,42.27283889,71.76228889,outflow,Total Suspended Solids
1,MA,MALQP3LO,P3_Locust_St_Tributary_to_Belmont_St,Worcester_County,Lake Quinsigamond,Residential,,16.0,1980-08-02,,,summer,Total,mg/L,69.0,=,154.0,42.27283889,71.76228889,outflow,Total Suspended Solids
1,MA,MALQP3LO,P3_Locust_St_Tributary_to_Belmont_St,Worcester_County,Lake Quinsigamond,Residential,,16.0,1980-08-11,,,summer,Total,mg/L,47.0,=,154.0,42.27283889,71.76228889,outflow,Total Suspended Solids
1,MA,MALQP3LO,P3_Locust_St_Tributary_to_Belmont_St,Worcester_County,Lake Quinsigamond,Residential,,16.0,1980-09-10,,,summer,Total,mg/L,78.0,=,154.0,42.27283889,71.76228889,outflow,Total Suspended Solids
1,MA,MALQP3LO,P3_Locust_St_Tributary_to_Belmont_St,Worcester_County,Lake Quinsigamond,Residential,,16.0,1980-09-18,,,summer,Total,mg/L,441.0,=,154.0,42.27283889,71.76228889,outflow,Total Suspended Solids
1,MA,MALQP3LO,P3_Locust_St_Tributary_to_Belmont_St,Worcester_County,Lake Quinsigamond,Residential,,16.0,1980-09-26,,,autumn,Total,mg/L,53.0,=,154.0,42.27283889,71.76228889,outflow,Total Suspended Solids
1,MA,MALQP4GS,P4_Anna_St_Fitzgerald_Brook,Worcester_County,Lake Quinsigamond,Residential,Open Space,12.0,1980-06-16,,,spring,Total,mg/L,168.0,=,601.0,42.26633889,71.75550833,outflow,Total Suspended Solids
1,MA,MALQP4GS,P4_Anna_St_Fitzgerald_Brook,Worcester_County,Lake Quinsigamond,Residential,Open Space,12.0,1980-06-29,,,summer,Total,mg/L,47.0,=,601.0,42.26633889,71.75550833,outflow,Total Suspended Solids
1,MA,MALQP4GS,P4_Anna_St_Fitzgerald_Brook,Worcester_County,Lake Quinsigamond,Residential,Open Space,12.0,1980-08-11,,,summer,Total,mg/L,12.0,=,601.0,42.26633889,71.75550833,outflow,Total Suspended Solids
1,MA,MALQP4GS,P4_Anna_St_Fitzgerald_Brook,Worcester_County,Lake Quinsigamond,Residential,Open Space,12.0,1980-09-10,,,summer,Total,mg/L,14.0,=,601.0,42.26633889,71.75550833,outflow,Total Suspended Solids
1,MA,MALQP4GS,P4_Anna_St_Fitzgerald_Brook,Worcester_County,Lake Quinsigamond,Residential,Open Space,12.0,1980-09-18,,,summer,Total,mg/L,500.0,=,601.0,42.26633889,71.75550833,outflow,Total Suspended Solids
1,MA,MALQP4GS,P4_Anna_St_Fitzgerald_Brook,Worcester_County,Lake Quinsigamond,Residential,Open Space,12.0,1980-09-26,,,autumn,Total,mg/L,19.0,=,601.0,42.26633889,71.75550833,outflow,Total Suspended Solids
1,MA,MAMRHERO,Hemlock_Road,Middlesex_County,Upper_Mystic_lake,Residential,,16.0,1981-04-14,,,spring,Total,mg/L,9.24,=,50.0,42.50751111,71.11407222,outflow,Total Suspended Solids
1,MA,MAMRHERO,Hemlock_Road,Middlesex_County,Upper_Mystic_lake,Residential,,16.0,1981-06-20,,,spring,Total,mg/L,209.7,=,50.0,42.50751111,71.11407222,outflow,Total Suspended Solids
1,MA,MAMRHERO,Hemlock_Road,Middlesex_County,Upper_Mystic_lake,Residential,,16.0,1981-06-22,,,summer,Total,mg/L,6.96,=,50.0,42.50751111,71.11407222,outflow,Total Suspended Solids
1,MA,MAMRHERO,Hemlock_Road,Middlesex_County,Upper_Mystic_lake,Residential,,16.0,1981-07-13,,,summer,Total,mg/L,62.5,=,50.0,42.50751111,71.11407222,outflow,Total Suspended Solids
1,MA,MAMRHERO,Hemlock_Road,Middlesex_County,Upper_Mystic_lake,Residential,,16.0,1981-08-05,,,summer,Total,mg/L,24.1,=,50.0,42.50751111,71.11407222,outflow,Total Suspended Solids
1,MA,MAWOBRST,Brookdale_Street,Worcester_County,Worcester,Residential,,,2000-03-28,,1.09,spring,Total,mg/L,346.0,=,,,,outflow,Total Suspended Solids
1,MA,MAWOBRST,Brookdale_Street,Worcester_County,Worcester,Residential,,,2000-07-27,,2.1,summer,Total,mg/L,17.0,=,,,,outflow,Total Suspended Solids
1,MA,MAWOBRST,Brookdale_Street,Worcester_County,Worcester,Residential,,,2001-09-20,,0.82,summer,Total,mg/L,52.0,=,,,,outflow,Total Suspended Solids
1,MA,MAWOBRST,Brookdale_Street,Worcester_County,Worcester,Residential,,,2001-09-25,,1.37,autumn,Total,mg/L,288.0,=,,,,outflow,Total Suspended Solids
1,MA,MAWOBRST,Brookdale_Street,Worcester_County,Worcester,Residential,,,2000-11-10,,1.52,autumn,Total,mg/L,42.0,=,,,,outflow,Total Suspended Solids
1,MA,MAWOBRST,Brookdale_Street,Worcester_County,Worcester,Residential,,,2002-03-26,,1.16,spring,Total,mg/L,69.0,=,,,,outflow,Total Suspended Solids
1,MA,MAWOBRST,Brookdale_Street,Worcester_County,Worcester,Residential,,,2002-07-23,,1.14,summer,Total,mg/L,29.0,=,,,,outflow,Total Suspended Solids
1,MA,MAWOBRST,Brookdale_Street,Worcester_County,Worcester,Residential,,,2002-07-23,,1.14,summer,Total,mg/L,31.0,=,,,,outflow,Total Suspended Solids
1,MA,MAWOBRST,Brookdale_Street,Worcester_County,Worcester,Residential,,,2002-11-06,,0.64,autumn,Total,mg/L,18.0,=,,,,outflow,Total Suspended Solids
1,MA,MAWOBRST,Brookdale_Street,Worcester_County,Worcester,Residential,,,2003-06-18,,0.36,spring,Total,mg/L,40.0,=,,,,outflow,Total Suspended Solids
1,MA,MAWOBRST,Brookdale_Street,Worcester_County,Worcester,Residential,,,2003-09-23,,1.03,autumn,Total,mg/L,40.0,=,,,,outflow,Total Suspended Solids
1,MA,MAWOBRST,Brookdale_Street,Worcester_County,Worcester,Residential,,,2003-09-28,,0.26,autumn,Total,mg/L,12.0,=,,,,outflow,Total Suspended Solids
1,MA,MAWOOLST,Olean_Street,Worcester_County,Worcester,Residential,,,2000-03-28,,1.09,spring,Total,mg/L,112.0,=,,42.28590278,71.86085556,outflow,Total Suspended Solids
1,MA,MAWOOLST,Olean_Street,Worcester_County,Worcester,Residential,,,2000-07-27,,2.1,summer,Total,mg/L,14.0,=,,42.28590278,71.86085556,outflow,Total Suspended Solids
1,MA,MAWOOLST,Olean_Street,Worcester_County,Worcester,Residential,,,2001-09-20,,0.82,summer,Total,mg/L,24.0,=,,42.28590278,71.86085556,outflow,Total Suspended Solids
1,MA,MAWOOLST,Olean_Street,Worcester_County,Worcester,Residential,,,2001-09-25,,1.37,autumn,Total,mg/L,1091.0,=,,42.28590278,71.86085556,outflow,Total Suspended Solids
